title,asin,thumbnail,price,rating,reviews
"2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",B0DLBTPDCS,https://m.media-amazon.com/images/I/615y53Ws-NL._AC_UY218_.jpg,$499.00,4.8,1400
"2024 iMac All-in-One Desktop Computer with M4 chip with 10-core CPU and 10-core GPU: Built for Apple Intelligence, 24-inch Retina Display, 16GB Unified Memory, 256GB SSD Storage; Pink",B0DL77VKTM,https://m.media-amazon.com/images/I/71TGBiIroVL._AC_UY218_.jpg,"$1,374.00",4.8,383
"2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",B0DLBTPDCS,https://m.media-amazon.com/images/I/615y53Ws-NL._AC_UY218_.jpg,$499.00,4.8,1400
"2024 Mac mini Desktop Computer with M4 Pro chip with 14‑core CPU and 20‑core GPU, 48GB Unified Memory, 1TB SSD Storage, Gigabit Ethernet",B0DS2XP86K,https://m.media-amazon.com/images/I/615y53Ws-NL._AC_UY218_.jpg,"$2,089.00",4.0,5
"Dock & Stand for Mac mini M4/ M4 Pro with NVMe SSD Enclosure, 3 USB A 10Gbps, USB C Data Port, SD Card Reader, Silver",B0DSJ5ZH8F,https://m.media-amazon.com/images/I/61mFn-aoMSL._AC_UY218_.jpg,$64.99,4.4,505
"2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",B0DZD9S5GC,https://m.media-amazon.com/images/I/71cWZUr9SVL._AC_UY218_.jpg,$799.00,4.8,2600
"Apple 2023 Mac Mini with Apple M2 Chip with 8-core CPU (8GB RAM, 256GB SSD Storage) Silver (Renewed)",B0C31JJK4C,https://m.media-amazon.com/images/I/61La8PAa42L._AC_UY218_.jpg,$349.95,4.6,262
"(CTO) Apple Mac Mini M4 10C CPU / 10C GPU, 16GB, 2TB - Z1CF000BM",B0DW1HBVXF,https://m.media-amazon.com/images/I/615y53Ws-NL._AC_UY218_.jpg,,,
"Mac mini M4 Dock, Aluminum Stand and HDMI Hub for Mac mini M4 and M4 Pro 2024 with M.2 NVMe/SATA SSD Enclosure, 4K60Hz HDMI,10G USB A/C, 5G USB A*2, USB-C Charge, SD/TF, Audio",B0DT5LKD93,https://m.media-amazon.com/images/I/61s5RGNYswL._AC_UY218_.jpg,$64.99,4.4,505
"2024 Mac mini Desktop Computer with M4 Pro chip with 12‑core CPU and 16‑core GPU, 64GB Unified Memory, 8TB SSD Storage, Gigabit Ethernet",B0DWTRKLHC,https://m.media-amazon.com/images/I/615y53Ws-NL._AC_UY218_.jpg,"$3,499.00",5.0,1
